t,energy,relative_drift
0,-19.7392,0
0.05,-19.7392,-6.83573e-13
0.1,-19.7392,-1.36787e-12
0.15,-19.7392,-2.05234e-12
0.2,-19.7392,-2.73573e-12
0.25,-19.7392,-3.42038e-12
0.3,-19.7392,-4.10414e-12
0.35,-19.7392,-4.78843e-12
0.4,-19.7392,-5.47218e-12
0.45,-19.7392,-6.15612e-12
0.5,-19.7392,-6.84059e-12
0.55,-19.7392,-7.52308e-12
0.6,-19.7392,-8.20594e-12
0.65,-19.7392,-8.88987e-12
0.7,-19.7392,-9.57344e-12
0.75,-19.7392,-1.02574e-11
0.8,-19.7392,-1.09404e-11
0.85,-19.7392,-1.16243e-11
0.9,-19.7392,-1.23081e-11
0.95,-19.7392,-1.2992e-11
1,-19.7392,-1.36758e-11
1.05,-19.7392,-1.43603e-11
1.1,-19.7392,-1.50442e-11
1.15,-19.7392,-1.57269e-11
1.2,-19.7392,-1.64108e-11
1.25,-19.7392,-1.70949e-11
1.3,-19.7392,-1.77779e-11
1.35,-19.7392,-1.84617e-11
1.4,-19.7392,-1.91456e-11
1.45,-19.7392,-1.98303e-11
1.5,-19.7392,-2.05147e-11
1.55,-19.7392,-2.11989e-11
1.6,-19.7392,-2.18835e-11
1.65,-19.7392,-2.25665e-11
1.7,-19.7392,-2.32501e-11
1.75,-19.7392,-2.39337e-11
1.8,-19.7392,-2.46178e-11
1.85,-19.7392,-2.53023e-11
1.9,-19.7392,-2.59862e-11
1.95,-19.7392,-2.66696e-11
2,-19.7392,-2.7353e-11
2.05,-19.7392,-2.80371e-11
2.1,-19.7392,-2.87207e-11
2.15,-19.7392,-2.94034e-11
2.2,-19.7392,-3.0086e-11
2.25,-19.7392,-3.07701e-11
2.3,-19.7392,-3.14535e-11
2.35,-19.7392,-3.21382e-11
2.4,-19.7392,-3.28216e-11
2.45,-19.7392,-3.3505e-11
2.5,-19.7392,-3.41898e-11
2.55,-19.7392,-3.48734e-11
2.6,-19.7392,-3.55571e-11
2.65,-19.7392,-3.62394e-11
2.7,-19.7392,-3.69243e-11
2.75,-19.7392,-3.76079e-11
2.8,-19.7392,-3.82909e-11
2.85,-19.7392,-3.89748e-11
2.9,-19.7392,-3.96582e-11
2.95,-19.7392,-4.03418e-11
3,-19.7392,-4.10266e-11
3.05,-19.7392,-4.17107e-11
3.1,-19.7392,-4.23947e-11
3.15,-19.7392,-4.30779e-11
3.2,-19.7392,-4.37618e-11
3.25,-19.7392,-4.4445e-11
3.3,-19.7392,-4.51281e-11
3.35,-19.7392,-4.58129e-11
