t,body,x,y,z,vx,vy,vz
0,Star A,0.5,0,0,0,4.44288,0
0,Star B,-0.5,0,0,0,-4.44288,0
0,Planet,5,0,0,0,3.97275,0
0.05,Star A,0.451458,0.214908,0,-1.90962,4.01155,0
0.05,Star B,-0.451458,-0.214908,0,1.90962,-4.01155,0
0.05,Planet,4.99594,0.1986,0,-0.162321,3.97047,0
0.1,Star A,0.315259,0.388088,0,-3.44845,2.80132,0
0.1,Star B,-0.315259,-0.388088,0,3.44846,-2.80132,0
0.1,Planet,4.9838,0.396963,0,-0.322472,3.96311,0
0.15,Star A,0.117846,0.485914,0,-4.31772,1.04716,0
0.15,Star B,-0.117846,-0.485914,0,4.31772,-1.04716,0
0.15,Planet,4.96374,0.594807,0,-0.479488,3.94953,0
0.2,Star A,-0.102448,0.489392,0,-4.34862,-0.910326,0
0.2,Star B,0.102448,-0.489392,0,4.34862,0.910326,0
0.2,Planet,4.9359,0.791793,0,-0.63394,3.9286,0
0.25,Star A,-0.30285,0.397847,0,-3.53517,-2.69105,0
0.25,Star B,0.30285,-0.397847,0,3.53517,2.69105,0
0.25,Planet,4.90037,0.987535,0,-0.787377,3.89974,0
0.3,Star A,-0.444449,0.229053,0,-2.03531,-3.94927,0
0.3,Star B,0.444449,-0.229053,0,2.03531,3.94927,0
0.3,Planet,4.85715,1.18164,0,-0.941355,3.86322,0
0.35,Star A,-0.49975,0.0157847,0,-0.140258,-4.44067,0
0.35,Star B,0.499751,-0.0157847,0,0.140261,4.44067,0
0.35,Planet,4.80621,1.37375,0,-1.09646,3.82012,0
0.4,Star A,-0.458018,-0.200548,0,1.78203,-4.06984,0
0.4,Star B,0.458018,0.200548,0,-1.78202,4.06984,0
0.4,Planet,4.7475,1.56356,0,-1.25177,3.77184,0
0.45,Star A,-0.327353,-0.377941,0,3.3583,-2.90878,0
0.45,Star B,0.327354,0.377942,0,-3.3583,2.90879,0
0.45,Planet,4.68107,1.75086,0,-1.40517,3.71932,0
0.5,Star A,-0.133127,-0.481951,0,4.28251,-1.18294,0
0.5,Star B,0.133128,0.481951,0,-4.2825,1.18294,0
0.5,Planet,4.60705,1.93543,0,-1.55456,3.66251,0
0.55,Star A,0.0869475,-0.492382,0,4.3752,0.772589,0
0.55,Star B,-0.0869461,0.492382,0,-4.37519,-0.772588,0
0.55,Planet,4.52569,2.11702,0,-1.699,3.60043,0
0.6,Star A,0.29014,-0.407209,0,3.61837,2.57811,0
0.6,Star B,-0.290138,0.407209,0,-3.61836,-2.57811,0
0.6,Planet,4.43723,2.29536,0,-1.83901,3.53181,0
0.65,Star A,0.436997,-0.24297,0,2.15897,3.88305,0
0.65,Star B,-0.436995,0.24297,0,-2.15897,-3.88305,0
0.65,Planet,4.34184,2.47008,0,-1.97602,3.45579,0
0.7,Star A,0.499005,-0.0315535,0,0.280382,4.43403,0
0.7,Star B,-0.499002,0.0315539,0,-0.280375,-4.43403,0
0.7,Planet,4.23965,2.64081,0,-2.11154,3.37237,0
0.75,Star A,0.464122,0.185989,0,-1.65265,4.12407,0
0.75,Star B,-0.464119,-0.185989,0,1.65266,-4.12407,0
0.75,Planet,4.1307,2.80721,0,-2.24618,3.28264,0
0.8,Star A,0.339123,0.367419,0,-3.26479,3.01336,0
0.8,Star B,-0.33912,-0.367418,0,3.2648,-3.01335,0
0.8,Planet,4.01506,2.969,0,-2.37913,3.18828,0
0.85,Star A,0.148278,0.477509,0,-4.24302,1.31755,0
0.85,Star B,-0.148275,-0.477508,0,4.24303,-1.31755,0
0.85,Planet,3.89285,3.12599,0,-2.50849,3.0907,0
0.9,Star A,-0.0713574,0.494882,0,-4.3974,-0.63408,0
0.9,Star B,0.0713611,-0.494881,0,4.39741,0.634083,0
0.9,Planet,3.7643,3.27802,0,-2.63234,2.99016,0
0.95,Star A,-0.277137,0.416166,0,-3.69795,-2.46259,0
0.95,Star B,0.277141,-0.416165,0,3.69795,2.4626,0
0.95,Planet,3.62972,3.42494,0,-2.74977,2.8858,0
1,Star A,-0.429106,0.256645,0,-2.28048,-3.81295,0
1,Star B,0.42911,-0.256644,0,2.28049,3.81296,0
1,Planet,3.48943,3.56652,0,-2.86115,2.7762,0
1.05,Star A,-0.497756,0.0472919,0,-0.420214,-4.42296,0
1.05,Star B,0.497761,-0.0472905,0,0.420223,4.42297,0
1.05,Planet,3.34369,3.70245,0,-2.96776,2.66021,0
1.1,Star A,-0.469758,-0.171243,0,1.52164,-4.17418,0
1.1,Star B,0.469764,0.171245,0,-1.52163,4.17419,0
1.1,Planet,3.19271,3.83243,0,-3.07097,2.53766,0
1.15,Star A,-0.350549,-0.356529,0,3.16805,-3.11492,0
1.15,Star B,0.350555,0.356531,0,-3.16804,3.11492,0
1.15,Planet,3.03663,3.95613,0,-3.17147,2.40969,0
1.2,Star A,-0.163274,-0.472588,0,4.19932,-1.45084,0
1.2,Star B,0.16328,0.47259,0,-4.19931,1.45084,0
1.2,Planet,2.87561,4.07334,0,-3.26871,2.27828,0
1.25,Star A,0.055704,-0.496887,0,4.41523,0.494945,0
1.25,Star B,-0.0556971,0.496889,0,-4.41522,-0.494939,0
1.25,Planet,2.70984,4.18393,0,-3.36112,2.14518,0
1.3,Star A,0.263867,-0.424706,0,3.77386,2.34463,0
1.3,Star B,-0.263859,0.424709,0,-3.77384,-2.34462,0
1.3,Planet,2.53961,4.28784,0,-3.447,2.01092,0
1.35,Star A,0.420796,-0.270062,0,2.39972,3.73906,0
1.35,Star B,-0.420788,0.270065,0,-2.39971,-3.73906,0
1.35,Planet,2.36527,4.38499,0,-3.52545,1.87467,0
1.4,Star A,0.496022,-0.06298,0,0.559645,4.4075,0
1.4,Star B,-0.496013,0.0629832,0,-0.559634,-4.40749,0
1.4,Planet,2.18719,4.47525,0,-3.59664,1.73486,0
1.45,Star A,0.474937,0.156331,0,-1.3891,4.22015,0
1.45,Star B,-0.474928,-0.156327,0,1.38911,-4.22014,0
1.45,Planet,2.00571,4.55839,0,-3.66157,1.59015,0
1.5,Star A,0.361637,0.345287,0,-3.06812,3.21338,0
1.5,Star B,-0.361628,-0.345283,0,3.06813,-3.21338,0
1.5,Planet,1.82111,4.63417,0,-3.7215,1.44025,0
1.55,Star A,0.17812,0.467201,0,-4.15142,1.58269,0
1.55,Star B,-0.17811,-0.467197,0,4.15143,-1.58268,0
1.55,Planet,1.63363,4.70235,0,-3.77729,1.28637,0
1.6,Star A,-0.039981,0.498401,0,-4.42865,-0.355305,0
1.6,Star B,0.0399917,-0.498396,0,4.42866,0.355313,0
1.6,Planet,1.44346,4.76278,0,-3.82875,1.13072,0
1.65,Star A,-0.250318,0.432828,0,-3.84598,-2.22431,0
1.65,Star B,0.250329,-0.432823,0,3.84599,2.22432,0
1.65,Planet,1.25084,4.81543,0,-3.87474,0.975305,0
1.7,Star A,-0.412051,0.283215,0,-2.51656,-3.66143,0
1.7,Star B,0.412062,-0.28321,0,2.51657,3.66144,0
1.7,Planet,1.0561,4.86033,0,-3.91381,0.820788,0
1.75,Star A,-0.493776,0.0786123,0,-0.698497,-4.38763,0
1.75,Star B,0.493788,-0.0786061,0,0.698509,4.38764,0
1.75,Planet,0.859593,4.89751,0,-3.94499,0.666351,0
1.8,Star A,-0.479625,-0.141254,0,1.25519,-4.26189,0
1.8,Star B,0.479638,0.141261,0,-1.25518,4.2619,0
1.8,Planet,0.661732,4.92694,0,-3.96816,0.510341,0
1.85,Star A,-0.372346,-0.333693,0,2.96516,-3.30863,0
1.85,Star B,0.372359,0.3337,0,-2.96515,3.30864,0
1.85,Planet,0.462899,4.94849,0,-3.98402,0.351294,0
1.9,Star A,-0.192768,-0.461339,0,4.09939,-1.71295,0
1.9,Star B,0.192783,0.461347,0,-4.09938,1.71296,0
1.9,Planet,0.263432,4.96201,0,-3.99378,0.188873,0
