t,body,x,y,z,vx,vy,vz
0,Sun,0,0,0,0,0,0
0,Mercury,0.387,0,0,0,10.0998,0
0,Venus,0.723,0,0,0,7.38839,0
0,Earth,1,0,0,0,6.28318,0
0,Mars,1.524,0,0,0,5.08917,0
0.01,Sun,1.76059e-08,6.30693e-10,0,3.51672e-06,1.89042e-07,0
0.01,Mercury,0.373895,0.0998552,0,-2.60613,9.75777,0
0.01,Venus,0.719227,0.0737553,0,-0.753909,7.34983,0
0.01,Earth,0.998027,0.0627905,0,-0.394537,6.27079,0
0.01,Mars,1.52315,0.0508822,0,-0.169951,5.08633,0
0.02,Sun,7.01572e-08,5.02568e-09,0,6.98033e-06,7.51215e-07,0
0.02,Mercury,0.335467,0.192948,0,-5.03577,8.75488,0
0.02,Venus,0.707948,0.146741,0,-1.49996,7.23456,0
0.02,Earth,0.992114,0.125333,0,-0.787516,6.23364,0
0.02,Mars,1.5206,0.101708,0,-0.339713,5.07782,0
0.03,Sun,1.56865e-07,1.68511e-08,0,1.03399e-05,1.67193e-06,0
0.03,Mercury,0.274319,0.272972,0,-7.1244,7.15901,0
0.03,Venus,0.68928,0.218195,0,-2.23036,7.04379,0
0.03,Earth,0.982287,0.187381,0,-1.17739,6.17189,0
0.03,Mars,1.51636,0.15242,0,-0.509096,5.06365,0
0.04,Sun,2.76452e-07,3.95823e-08,0,1.35487e-05,2.92777e-06,0
0.04,Mercury,0.194591,0.334508,0,-8.73055,5.07821,0
0.04,Venus,0.663418,0.287371,0,-2.93751,6.77949,0
0.04,Earth,0.968582,0.24869,0,-1.56261,6.08579,0
0.04,Mars,1.51042,0.202962,0,-0.677911,5.04383,0
0.05,Sun,4.27201e-07,7.64208e-08,0,1.65662e-05,4.4877e-06,0
0.05,Mercury,0.101683,0.373386,0,-9.74541,2.65336,0
0.05,Venus,0.630632,0.353549,0,-3.61401,6.44442,0
0.05,Earth,0.951055,0.309017,0,-1.94167,5.97567,0
0.05,Mars,1.5028,0.253278,0,-0.845971,5.01838,0
0.06,Sun,6.07025e-07,1.30227e-07,0,1.9359e-05,6.31477e-06,0
0.06,Mercury,0.001888,0.386974,0,-10.1002,0.0486767,0
0.06,Venus,0.591264,0.416035,0,-4.25283,6.04207,0
0.06,Earth,0.929774,0.368125,0,-2.31306,5.84196,0
0.06,Mars,1.49351,0.303311,0,-1.01309,4.98734,0
0.07,Sun,8.13549e-07,2.0347e-07,0,2.19025e-05,8.368e-06,0
0.07,Mercury,-0.0980349,0.374349,0,-9.77081,-2.55942,0
0.07,Venus,0.545724,0.474179,0,-4.84728,5.57663,0
0.07,Earth,0.904824,0.425779,0,-2.67533,5.6852,0
0.07,Mars,1.48254,0.353006,0,-1.17907,4.95074,0
0.08,Sun,1.04419e-06,2.98198e-07,0,2.41808e-05,1.06045e-05,0
0.08,Mercury,-0.191317,0.336364,0,-8.77951,-4.99425,0
0.08,Venus,0.494487,0.527374,0,-5.39116,5.05294,0
0.08,Earth,0.876303,0.481754,0,-3.02703,5.506,0
0.08,Mars,1.46993,0.402307,0,-1.34375,4.90861,0
0.09,Sun,1.29626e-06,4.16028e-07,0,2.61867e-05,1.29815e-05,0
0.09,Mercury,-0.271638,0.275594,0,-7.19339,-7.09084,0
0.09,Venus,0.438088,0.575062,0,-5.8788,4.47648,0
0.09,Earth,0.844323,0.535827,0,-3.36679,5.30507,0
0.09,Mars,1.45567,0.45116,0,-1.50692,4.86101,0
0.1,Sun,1.56702e-06,5.58162e-07,0,2.79215e-05,1.54585e-05,0
0.1,Mercury,-0.333556,0.196152,0,-5.11988,-8.70711,0
0.1,Venus,0.377115,0.616747,0,-6.30509,3.85324,0
0.1,Earth,0.809011,0.587785,0,-3.69327,5.0832,0
0.1,Mars,1.4398,0.499509,0,-1.66842,4.80799,0
0.11,Sun,1.85381e-06,7.2541e-07,0,2.93935e-05,1.79989e-05,0
0.11,Mercury,-0.372876,0.103422,0,-2.69945,-9.73352,0
0.11,Venus,0.312206,0.651993,0,-6.66558,3.18972,0
0.11,Earth,0.770507,0.637424,0,-4.00516,4.84127,0
0.11,Mars,1.42231,0.547302,0,-1.82805,4.74961,0
0.12,Sun,2.15406e-06,9.18245e-07,0,3.06167e-05,2.05712e-05,0
0.12,Mercury,-0.386934,0.0036851,0,-0.0960891,-10.1005,0
0.12,Venus,0.244036,0.68043,0,-6.95649,2.49284,0
0.12,Earth,0.728961,0.684547,0,-4.30125,4.58023,0
0.12,Mars,1.40324,0.594484,0,-1.98565,4.68592,0
