t,energy,relative_drift
0,-1.28714,0
0.02,-1.28714,-1.7251e-16
0.04,-1.28714,-1.7251e-16
0.06,-1.28714,-1.7251e-16
0.08,-1.28714,5.17529e-16
0.1,-1.28714,0
0.12,-1.28714,5.17529e-16
0.14,-1.28714,1.20757e-15
0.16,-1.28714,8.62549e-16
0.18,-1.28714,1.20757e-15
0.2,-1.28714,1.38008e-15
0.22,-1.28714,6.90039e-16
0.24,-1.28714,8.62549e-16
0.26,-1.28714,1.89761e-15
0.28,-1.28714,2.76016e-15
0.3,-1.28714,2.07012e-15
0.32,-1.28714,1.89761e-15
0.34,-1.28714,2.24263e-15
0.36,-1.28714,2.93267e-15
0.38,-1.28714,2.93267e-15
0.4,-1.28714,3.27769e-15
0.42,-1.28714,3.96773e-15
0.44,-1.28714,5.3478e-15
0.46,-1.28714,6.03784e-15
0.48,-1.28714,6.03784e-15
0.5,-1.28714,7.41792e-15
0.52,-1.28714,8.45298e-15
0.54,-1.28714,8.45298e-15
0.56,-1.28714,8.10796e-15
0.58,-1.28714,8.45298e-15
0.6,-1.28714,7.76294e-15
0.62,-1.28714,7.0729e-15
0.64,-1.28714,7.76294e-15
0.66,-1.28714,6.90039e-15
0.68,-1.28714,5.17529e-15
0.7,-1.28714,4.31274e-15
0.72,-1.28714,3.96773e-15
0.74,-1.28714,3.62271e-15
0.76,-1.28714,2.24263e-15
0.78,-1.28714,2.58765e-15
0.8,-1.28714,2.07012e-15
0.82,-1.28714,2.76016e-15
0.84,-1.28714,3.27769e-15
0.86,-1.28714,2.41514e-15
0.88,-1.28714,2.41514e-15
0.9,-1.28714,1.38008e-15
0.92,-1.28714,1.20757e-15
0.94,-1.28714,6.90039e-16
0.96,-1.28714,8.62549e-16
0.98,-1.28714,1.7251e-16
1,-1.28714,5.17529e-16
1.02,-1.28714,8.62549e-16
1.04,-1.28714,-1.7251e-16
1.06,-1.28714,-6.90039e-16
1.08,-1.28714,-1.20757e-15
1.1,-1.28714,-5.17529e-16
1.12,-1.28714,-1.55259e-15
1.14,-1.28714,-1.7251e-15
1.16,-1.28714,-2.76016e-15
1.18,-1.28714,-2.41514e-15
1.2,-1.28714,-2.93267e-15
1.22,-1.28714,-2.93267e-15
1.24,-1.28714,-3.79522e-15
1.26,-1.28714,-3.27769e-15
1.28,-1.28714,-3.4502e-15
1.3,-1.28714,-2.41514e-15
1.32,-1.28714,-1.55259e-15
1.34,-1.28714,-6.90039e-16
1.36,-1.28714,-5.17529e-16
1.38,-1.28714,-3.4502e-16
1.4,-1.28714,1.7251e-16
1.42,-1.28714,5.17529e-16
1.44,-1.28714,3.4502e-16
1.46,-1.28714,1.89761e-15
1.48,-1.28714,2.76016e-15
1.5,-1.28714,2.07012e-15
1.52,-1.28714,2.76016e-15
1.54,-1.28714,3.27769e-15
1.56,-1.28714,3.79522e-15
1.58,-1.28714,5.00278e-15
1.6,-1.28714,5.17529e-15
1.62,-1.28714,4.48525e-15
1.64,-1.28714,4.83027e-15
1.66,-1.28714,4.31274e-15
1.68,-1.28714,3.79522e-15
1.7,-1.28714,2.93267e-15
1.72,-1.28714,2.76016e-15
1.74,-1.28714,5.17529e-16
1.76,-1.28714,8.62549e-16
1.78,-1.28714,-8.62549e-16
1.8,-1.28714,-2.07012e-15
1.82,-1.28714,-1.55259e-15
1.84,-1.28714,-2.58765e-15
1.86,-1.28714,-3.10518e-15
1.88,-1.28714,-3.62271e-15
1.9,-1.28714,-3.10518e-15
1.92,-1.28714,-2.24263e-15
1.94,-1.28714,-3.10518e-15
1.96,-1.28714,-2.41514e-15
1.98,-1.28714,-2.07012e-15
2,-1.28714,-1.89761e-15
2.02,-1.28714,-2.76016e-15
2.04,-1.28714,-2.24263e-15
2.06,-1.28714,-1.03506e-15
2.08,-1.28714,-1.20757e-15
2.1,-1.28714,-1.55259e-15
2.12,-1.28714,-1.7251e-15
2.14,-1.28714,-1.55259e-15
2.16,-1.28714,-8.62549e-16
2.18,-1.28714,-1.7251e-16
2.2,-1.28714,-3.4502e-16
2.22,-1.28714,-8.62549e-16
2.24,-1.28714,-6.90039e-16
2.26,-1.28714,1.7251e-16
2.28,-1.28714,1.38008e-15
2.3,-1.28714,1.55259e-15
2.32,-1.28714,1.89761e-15
2.34,-1.28714,1.20757e-15
2.36,-1.28714,1.89761e-15
2.38,-1.28714,2.58765e-15
2.4,-1.28714,3.62271e-15
2.42,-1.28714,4.14024e-15
2.44,-1.28714,5.17529e-15
2.46,-1.28714,5.86533e-15
