t,body,x,y,z,vx,vy,vz
0,Body A,-0.970004,0.243088,0,0.466204,0.432366,0
0,Body B,0.970004,-0.243088,0,0.466204,0.432366,0
0,Body C,0,0,0,-0.932407,-0.864731,0
0.02,Body A,-0.960436,0.251671,0,0.490779,0.425863,0
0.02,Body B,0.979088,-0.234382,0,0.44228,0.438045,0
0.02,Body C,-0.0186525,-0.0172891,0,-0.93306,-0.863908,0
0.04,Body A,-0.950369,0.260116,0,0.515999,0.418455,0
0.04,Body B,0.9877,-0.225571,0,0.41901,0.44298,0
0.04,Body C,-0.037331,-0.0345453,0,-0.935009,-0.861435,0
0.06,Body A,-0.939791,0.268403,0,0.541848,0.410051,0
0.06,Body B,0.995853,-0.216667,0,0.396389,0.447245,0
0.06,Body C,-0.0560614,-0.0517354,0,-0.938237,-0.857296,0
0.08,Body A,-0.928691,0.276511,0,0.568302,0.400561,0
0.08,Body B,1.00356,-0.207685,0,0.374406,0.450909,0
0.08,Body C,-0.0748688,-0.0688259,0,-0.942709,-0.85147,0
0.1,Body A,-0.917056,0.284417,0,0.595328,0.389888,0
0.1,Body B,1.01083,-0.198635,0,0.35305,0.454037,0
0.1,Body C,-0.0937777,-0.0857828,0,-0.948378,-0.843924,0
0.12,Body A,-0.904874,0.292098,0,0.62288,0.377934,0
0.12,Body B,1.01769,-0.189527,0,0.332302,0.456687,0
0.12,Body C,-0.112811,-0.102571,0,-0.955182,-0.834621,0
0.14,Body A,-0.892137,0.299526,0,0.650901,0.3646,0
0.14,Body B,1.02413,-0.18037,0,0.312143,0.458915,0
0.14,Body C,-0.131992,-0.119156,0,-0.963043,-0.823515,0
0.16,Body A,-0.878836,0.306672,0,0.67932,0.349787,0
0.16,Body B,1.03018,-0.171172,0,0.29255,0.460771,0
0.16,Body C,-0.15134,-0.135499,0,-0.97187,-0.810558,0
0.18,Body A,-0.864962,0.313506,0,0.708051,0.333395,0
0.18,Body B,1.03583,-0.161941,0,0.2735,0.462302,0
0.18,Body C,-0.170873,-0.151565,0,-0.981551,-0.795697,0
0.2,Body A,-0.850512,0.319997,0,0.736995,0.315331,0
0.2,Body B,1.04112,-0.152682,0,0.254967,0.463549,0
0.2,Body C,-0.190607,-0.167314,0,-0.991962,-0.77888,0
0.22,Body A,-0.835482,0.326108,0,0.766033,0.295506,0
0.22,Body B,1.04604,-0.143401,0,0.236923,0.464551,0
0.22,Body C,-0.210555,-0.182707,0,-1.00296,-0.760058,0
0.24,Body A,-0.819871,0.331805,0,0.795031,0.273842,0
0.24,Body B,1.0506,-0.134102,0,0.219342,0.465344,0
0.24,Body C,-0.230728,-0.197703,0,-1.01437,-0.739186,0
0.26,Body A,-0.803682,0.337049,0,0.823838,0.250271,0
0.26,Body B,1.05481,-0.124788,0,0.202194,0.465958,0
0.26,Body C,-0.251131,-0.212261,0,-1.02603,-0.71623,0
0.28,Body A,-0.78692,0.341802,0,0.852288,0.224742,0
0.28,Body B,1.05869,-0.115464,0,0.18545,0.466423,0
0.28,Body C,-0.271769,-0.226338,0,-1.03774,-0.691165,0
0.3,Body A,-0.769594,0.346025,0,0.880197,0.197222,0
0.3,Body B,1.06223,-0.106132,0,0.169081,0.466764,0
0.3,Body C,-0.29264,-0.239893,0,-1.04928,-0.663986,0
0.32,Body A,-0.751717,0.349678,0,0.90737,0.167702,0
0.32,Body B,1.06545,-0.0967944,0,0.153056,0.467003,0
0.32,Body C,-0.313738,-0.252883,0,-1.06043,-0.634705,0
0.34,Body A,-0.733305,0.35272,0,0.933603,0.136198,0
0.34,Body B,1.06836,-0.0874527,0,0.137346,0.467161,0
0.34,Body C,-0.335053,-0.265267,0,-1.07095,-0.603359,0
0.36,Body A,-0.714381,0.355113,0,0.958683,0.102757,0
0.36,Body B,1.07095,-0.0781084,0,0.12192,0.467256,0
